ID,village_ID,group_in_village,bags,payrate,showup,grouptype,training,pilot,assistant,comm_subj,comm_group,leftsetup,village_name,commune_name,date,gender,age,ethnic,income,occupation,education,item_moto,item_phone,item_TV,item_fridge,item_stove,children,bagsbefore,difficulty,likeability,minsbreak,chat,chat_pay,know_pay,fair,fair_why,fair_why_code1,fair_why_code2,forest_worry,forest_important,protect,people_logging,people_hunting,vignette1,vignette2,vignette3,vignette4
30,2,2,117,400,30000,equal,9,no,Nam,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,2.00E+06,agriculture,2,yes,yes,yes,no,no,0,yes,4,1,2,yes,no,yes,2,NA,NA,NA,5,5,yes,no,no,a,a,a,b
31,2,3,120,400,30000,inequal,NA,no,Quang,(no comment),The second participant took a break after 34 minutes; Some participants kept packing next soil bags though they have already finished 20 soil bags in small box,no,Cha Mang,Thuong Lo,26.03.2019,m,30,Catu,2.00E+06,(translation missing),12,yes,yes,yes,no,no,2,no,4,2,2,yes,no,yes,2,The pay rate was justifiable as compared to the market price,5,NA,4,5,yes,no,no,a,b,a,b
32,2,3,140,400,30000,inequal,14,no,Quang,produced soil bags quickly,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,34,Catu,1500000,agriculture,12,yes,yes,yes,yes,yes,2,no,5,2,5,yes,no,yes,2,Depending on real-effort of individual,7,NA,4,4,yes,yes,yes,b,b,a,b
33,2,3,NA,600,30000,inequal,NA,no,Quang,left the activity after 30 minutes,(no comment),yes,Cha Mang,Thuong Lo,26.03.2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,2,3,139,600,30000,inequal,12,no,Quang,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,1500000,(translation missing),12,yes,yes,yes,yes,yes,2,yes,5,2,5,yes,yes,yes,2,Depending on the regulation of the project,12,NA,5,5,yes,yes,yes,b,b,a,b
35,2,3,98,400,30000,inequal,7,no,Quang,Took first snacks  after 25 minutes,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,51,Catu,1.00E+06,(translation missing),9,yes,yes,yes,no,no,0,no,2,2,1,no,no,yes,5,"Because, within a group, some people may get high pay rate while others get low pay rate. So, there was an unfair feeling",3,NA,5,5,yes,do not know,yes,b,b,a,b
36,2,3,79,400,30000,inequal,7,no,Quang,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,65,Catu,3.00E+05,(translation missing),5,yes,yes,no,no,no,2,yes,5,1,0,no,no,yes,4,It was unfair because some people may get higher pay rate than the others,3,NA,5,5,yes,no,no,b,b,a,b
37,2,3,118,600,30000,inequal,16,no,Quang,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,32,Catu,1500000,farming,10,yes,yes,yes,no,no,0,yes,5,2,0,yes,no,yes,1,The pay rate for such a piece was very reasonable and luckier than those who receive 400 VND/piece,1,NA,5,5,yes,no,no,b,b,a,b
38,2,3,40,600,30000,inequal,5,no,Quang,produced soil bag slowly but good quality,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,60,Catu,1.00E+06,(translation missing),9,yes,yes,yes,yes,yes,0,no,2,1,1,no,no,no,2,The pay rate based on the project,12,NA,4,5,yes,yes,yes,b,b,a,b
39,2,4,68,600,30000,inequal,7,no,Anh,(no comment),The first snacks are taken after 23 minutes,no,Cha Mang,Thuong Lo,26.03.2019,m,48,Catu,8.00E+05,(translation missing),9,yes,yes,yes,no,no,0,no,4,2,5,no,no,no,2,NA,NA,NA,2,4,yes,no,yes,a,b,a,b
40,2,4,140,400,30000,inequal,11,no,Anh,produced soil bags quickly,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,35,Catu,0,(translation missing),6,yes,yes,yes,no,no,2,no,4,2,5,yes,no,no,3,I have never participated and thus I do not know the pay rate,12,NA,5,5,no,no,yes,a,b,a,a
41,2,4,100,600,30000,inequal,9,no,Anh,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,27,Catu,5.00E+05,(translation missing),12,yes,yes,yes,no,no,1,no,2,2,0,yes,no,no,4,The pay rate was not proportionable to the real-effort task. It was a low pay rate.,6,NA,5,5,no,yes,no,a,b,a,a
42,2,4,80,400,30000,inequal,8,no,Anh,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,41,Catu,7.00E+05,(translation missing),0,yes,yes,yes,no,no,3,no,4,2,20,no,no,no,3,Because I do not know and my baby cried so I could not concentrate on the task,12,NA,5,5,yes,do not know,no,a,b,a,b
43,2,4,100,400,30000,inequal,8,no,Anh,stopped working after 55 minutes,(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,37,Catu,8.00E+05,(translation missing),12,yes,yes,yes,no,no,2,yes,2,2,10,yes,no,no,4,Because the pay rate was low,6,NA,5,5,yes,no,no,b,b,a,b
44,2,4,103,600,30000,inequal,8,no,Anh,"is an old woman, she packs soil bags quite slowly",(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,30,Catu,1.00E+06,(translation missing),12,yes,yes,yes,yes,yes,2,no,2,2,5,no,no,no,2,"If the task is for a workday, it can ensure the income source. Therefore, the pay rate was reasonable",5,NA,4,5,yes,no,no,a,b,a,b
45,2,4,100,600,30000,inequal,11,no,Anh,"got drunk before taking part in the activity, stopped working after 50 minutes",(no comment),no,Cha Mang,Thuong Lo,26.03.2019,m,30,Catu,2500000,(translation missing),12,yes,yes,no,no,no,0,no,2,2,12,yes,no,no,4,I loss a half-workday but the earning was less. It was unfair / unreasonable,6,NA,5,5,yes,no,no,a,b,a,b
46,2,4,116,400,30000,inequal,8,no,Anh,(no comment),(no comment),no,Cha Mang,Thuong Lo,26.03.2019,f,28,Catu,8.00E+05,(translation missing),9,yes,yes,yes,no,no,1,yes,4,3,0,yes,no,no,4,People received 600 VND/piece while others received 400 VND/piece. It was unfair,3,NA,4,5,yes,do not know,do not know,b,b,a,b
47,3,1,75,600,30000,equal,4,no,Tam,(no comment),"Everyone in the group did not talk too much, just focused on working; Nobody took snacks during 60 minutes",no,6,Thuong Long,27.03.2019,f,19,Catu,3.00E+06,(translation missing),12,yes,yes,yes,no,yes,2,no,4,1,2,yes,yes,yes,2,600 VND/piece was reasonable and it was higher than the market price,5,NA,5,5,no,do not know,do not know,a,a,b,b
48,3,1,90,600,30000,equal,5,no,Tam,produced good quality soil bags,(no comment),no,6,Thuong Long,27.03.2019,m,30,Catu,3600000,(translation missing),6,yes,yes,yes,no,no,1,no,4,2,2,yes,no,no,1,600 VND/piece was high,5,NA,4,5,no,do not know,do not know,b,b,a,b
49,3,1,90,600,30000,equal,6,no,Tam,was singing while producing soil bags to make fun,(no comment),no,6,Thuong Long,27.03.2019,f,35,Catu,1.00E+06,(translation missing),5,no,no,yes,no,no,3,no,5,1,1,yes,yes,yes,1,600 VND/piece was reasonable and it was higher than the market price,5,NA,5,5,no,yes,no,a,b,a,b
